date,factor,rank_ic,number_of_stocks
2016-02-05,downside_vol_20,-0.15135177782453185,97
2016-02-05,volume_zscore_20,0.1291815695350305,97
2016-02-05,volume_trend_5_20,0.057332211235009464,97
2016-02-05,amihud_illiq_20,-0.16163475699558172,97
2016-02-05,signed_volume_pressure_20,0.08932516305491267,97
2016-02-05,volume_cv_20,-0.1638307384809594,97
2016-02-05,return_volume_corr_20,-0.014306753629286764,97
2016-02-05,close_location_value,0.0506522196507469,97
2016-02-05,body_range_ratio,-0.006982432148116978,97
2016-02-05,gap_followthrough_20,0.011834630759520303,97
2016-02-05,cs_rank_ret20,-0.017410056806227644,97
2016-02-05,cs_rank_ret60,0.14244950557542604,97
2016-02-05,cs_rank_vol20,-0.18970913107511045,97
2016-02-05,cs_rank_amihud20,-0.16163475699558172,97
2016-02-05,return_autocorr_20,-0.07632021880917314,97
2016-02-05,revenue_growth_yoy,-0.000856418196057342,45
2016-02-05,gross_margin_change_yoy,-0.15785421997479393,42
2016-02-05,operating_profitability,0.08043212752932305,62
2016-02-05,cashflow_to_assets,0.19795353667350352,36
2016-02-05,debt_to_assets,0.18030785069718738,48
2016-02-05,asset_growth_yoy,0.07086756945363595,68
2016-02-12,ret_1d,-0.02310382916053019,97
2016-02-12,ret_5d,-0.010414475068377867,97
2016-02-12,ret_20d,-0.11593993267410056,97
2016-02-12,ret_60d,-0.1134941089837997,97
2016-02-12,ret_120d,,0
2016-02-12,momentum_20_5,-0.11850410267199663,97
2016-02-12,overnight_gap,0.00978329476120345,97
2016-02-12,intraday_return,-0.09455869976856722,97
2016-02-12,ema20_distance,-0.07508415737428992,97
2016-02-12,ema60_distance,-0.11188985903639805,97
2016-02-12,ema20_60_spread,-0.16579002735114662,97
2016-02-12,rsi14_centered,-0.06925888912265936,97
2016-02-12,macd_hist_atr,0.08271091941931412,97
2016-02-12,breakout_position_60,-0.14736745213549335,97
2016-02-12,trend_r2_20,0.04027719335156743,97
2016-02-12,realized_vol_5,0.11738638754470859,97
2016-02-12,realized_vol_20,0.06605038922785608,97
2016-02-12,vol_ratio_5_20,0.11668945928887017,97
2016-02-12,parkinson_vol_20,0.08423627182831894,97
2016-02-12,overnight_vol_20,0.03229539238375762,97
2016-02-12,downside_vol_20,0.0705475489164738,97
2016-02-12,volume_zscore_20,-0.15862350094677047,97
2016-02-12,volume_trend_5_20,-0.04278876499053229,97
2016-02-12,amihud_illiq_20,0.07931832526825162,97
2016-02-12,signed_volume_pressure_20,-0.17383757626762042,97
2016-02-12,volume_cv_20,0.003839680201977698,97
2016-02-12,return_volume_corr_20,-0.052374815905743735,97
2016-02-12,close_location_value,-0.06130338733431517,97
2016-02-12,body_range_ratio,-0.07298022301704186,97
2016-02-12,gap_followthrough_20,-0.06118504102671996,97
2016-02-12,cs_rank_ret20,-0.11593993267410056,97
2016-02-12,cs_rank_ret60,-0.1134941089837997,97
2016-02-12,cs_rank_vol20,0.06605038922785608,97
2016-02-12,cs_rank_amihud20,0.07931832526825162,97
2016-02-12,return_autocorr_20,-0.10288239006942983,97
2016-02-12,revenue_growth_yoy,0.06403372973597972,45
2016-02-12,gross_margin_change_yoy,-0.19731777496849243,42
2016-02-12,operating_profitability,-0.03764747359309266,62
2016-02-12,cashflow_to_assets,-0.04298860939463601,36
2016-02-12,debt_to_assets,0.08339075068868024,49
2016-02-12,asset_growth_yoy,0.14992317750021825,68
2016-02-19,ret_1d,-0.15874184725436566,97
2016-02-19,ret_5d,0.011742583631390698,97
2016-02-19,ret_20d,-0.298995371344414,97
2016-02-19,ret_60d,-0.1293393646118241,97
2016-02-19,ret_120d,,0
2016-02-19,momentum_20_5,-0.2983247422680412,97
2016-02-19,overnight_gap,-0.12751157163896484,97
2016-02-19,intraday_return,-0.16149011150852094,97
2016-02-19,ema20_distance,-0.2547601514832737,97
2016-02-19,ema60_distance,-0.31495897328003364,97
2016-02-19,ema20_60_spread,-0.2925257731958763,97
2016-02-19,rsi14_centered,-0.3454791710498632,97
