date,factor,rank_ic,number_of_stocks
2016-01-29,downside_vol_20,-0.16283136966126655,97
2016-01-29,volume_zscore_20,0.2728671365453398,97
2016-01-29,volume_trend_5_20,0.20171470650115716,97
2016-01-29,amihud_illiq_20,-0.13763675573322112,97
2016-01-29,signed_volume_pressure_20,-0.014885335577529978,97
2016-01-29,volume_cv_20,-0.10835261939827476,97
2016-01-29,return_volume_corr_20,0.08624815905743738,97
2016-01-29,close_location_value,0.12492110246160319,97
2016-01-29,body_range_ratio,0.14788028613507256,97
2016-01-29,gap_followthrough_20,0.2708815484956869,97
2016-01-29,cs_rank_ret20,0.018619819061645275,97
2016-01-29,cs_rank_ret60,0.016305491268672416,97
2016-01-29,cs_rank_vol20,-0.2038054912686724,97
2016-01-29,cs_rank_amihud20,-0.13763675573322112,97
2016-01-29,return_autocorr_20,0.12166000420786871,97
2016-01-29,revenue_growth_yoy,0.005336144144664977,45
2016-01-29,gross_margin_change_yoy,-0.005753413561709636,42
2016-01-29,operating_profitability,0.0202213520369588,62
2016-01-29,cashflow_to_assets,0.11599277798179075,38
2016-01-29,debt_to_assets,0.04288467319571706,48
2016-01-29,asset_growth_yoy,-0.18061911417554877,69
2016-02-05,ret_1d,-0.0016173995371344414,97
2016-02-05,ret_5d,-0.007876604249947402,97
2016-02-05,ret_20d,-0.2812960235640648,97
2016-02-05,ret_60d,-0.20505470229328843,97
2016-02-05,ret_120d,,0
2016-02-05,momentum_20_5,-0.3598911213970124,97
2016-02-05,overnight_gap,-0.1971984706987522,97
2016-02-05,intraday_return,0.023879654954765406,97
2016-02-05,ema20_distance,-0.09678098043341046,97
2016-02-05,ema60_distance,-0.21894066905112558,97
2016-02-05,ema20_60_spread,-0.2625447086050915,97
2016-02-05,rsi14_centered,-0.12233063328424153,97
2016-02-05,macd_hist_atr,0.07616242373237955,97
2016-02-05,breakout_position_60,-0.15634862192299598,97
2016-02-05,trend_r2_20,-0.13519093204292026,97
2016-02-05,realized_vol_5,0.22577845571218177,97
2016-02-05,realized_vol_20,0.15122028192720385,97
2016-02-05,vol_ratio_5_20,0.21102461603197978,97
2016-02-05,parkinson_vol_20,0.10869450873132756,97
2016-02-05,overnight_vol_20,-0.016936671575846832,97
2016-02-05,downside_vol_20,0.23832316431727327,97
2016-02-05,volume_zscore_20,-0.12731432779297286,97
2016-02-05,volume_trend_5_20,-0.031401220281927204,97
2016-02-05,amihud_illiq_20,-0.02532610982537345,97
2016-02-05,signed_volume_pressure_20,-0.14576320218809172,97
2016-02-05,volume_cv_20,-0.20679044813801808,97
2016-02-05,return_volume_corr_20,-0.004733852303808121,97
2016-02-05,close_location_value,-0.13668998527245949,97
