factor,family,eligible_weeks,mean_rank_ic,median_rank_ic,ic_std,icir,annualized_icir,positive_ic_ratio,negative_ic_ratio,direction,q1,q2,q3,q4,q5,q5_q1,direction_adjusted_top_bottom,monotonicity,coverage,missing_rate,average_stocks_per_eligible_week,minimum_stocks_per_eligible_week,early_mean_ic,late_mean_ic,low_vix_mean_ic,high_vix_mean_ic,max_abs_correlation,evidence_score,evidence_flag,final_role,selection_reason
ema20_60_spread,trend,313,-0.003925084171235954,-0.010465046504650462,0.15422081571166305,-0.025451066077710527,-0.1835302475168149,0.46645367412140576,0.5335463258785943,negative,0.0004951299265898578,0.0008468753065751827,0.0009251182007198528,0.000905179367614701,0.00035554467690393266,-0.0001395852496859251,0.0001395852496859251,-0.09999999999999999,0.9988470776621297,0.0011529223378703435,99.64536741214057,97,0.005039921048545498,-0.012832987446942367,0.0009452646244785801,-0.008826653151538402,0.9098109810981098,1,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
rsi14_centered,trend,313,0.01647827224432827,0.014377610293388163,0.1489030469905963,0.11066443956226715,0.7980126224244798,0.549520766773163,0.4504792332268371,positive,0.00037198475478579485,0.0006278754123868725,0.0007290458364064202,0.0006747017995706783,0.0011320323616060652,0.0007600476068202704,0.0007600476068202704,0.8999999999999998,0.9997117694155324,0.00028823058446758587,99.73162939297124,97,0.02613973001302235,0.006878352423205497,0.016003809387945142,0.016955776529277957,0.9501950195019502,6,Strong,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
macd_hist_atr,trend,313,0.021260943095007732,0.03184528006398991,0.13507618324757031,0.15739964354811722,1.1350249711049827,0.5878594249201278,0.41214057507987223,positive,0.0004954509022498625,0.0002640490016100578,0.0007598347885549429,0.0010159133383525825,0.0009980528233985166,0.0005026019211486541,0.0005026019211486541,0.7999999999999999,0.9993274619695757,0.00067253803042433,99.69329073482429,97,0.026170187547024677,0.01638296771593357,0.014535981503580984,0.028029013414584646,0.6399399939993999,6,Strong,core,Development-only evidence ordering; compact core also applies family diversity and redundancy
breakout_position_60,trend,313,0.014366541681312565,0.016801680168016798,0.14927037955784153,0.09624509379468417,0.6940332413771495,0.5591054313099042,0.44089456869009586,positive,0.0004440220724837241,0.0006547887712499472,0.0006860969692911527,0.0006475474712672837,0.0010993042964176367,0.0006552822239339125,0.0006552822239339125,0.7,0.9988470776621297,0.0011529223378703435,99.64536741214057,97,0.027323697723775863,0.0014919152951706832,0.018159909939811196,0.010548856959618432,0.8983498349834983,6,Strong,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
trend_r2_20,trend,313,0.002885618173861478,0.0009241034996585046,0.11251987361333211,0.02564540895040226,0.18493167390183693,0.5079872204472844,0.48881789137380194,positive,0.0007650274364969195,0.0007843260488540109,0.0005338154954836347,0.00044952069865430386,0.001011746363065431,0.0002467189265685115,0.0002467189265685115,0.09999999999999999,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,-0.0019514399079169403,0.0076918669684948125,-0.002546126982577806,0.008352182209508703,0.2038095238095238,1,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
realized_vol_5,volatility,313,0.0020852248467530116,-0.006264626462646265,0.1511375826910597,0.013796865145153336,0.09949060944302453,0.48242811501597443,0.5175718849840255,positive,0.0006566936425459823,0.0005408539957863198,0.0011454525743259938,0.0008548076997029939,0.0003504595243607816,-0.00030623411818520073,0.00030623411818520073,-0.19999999999999998,0.9999039231385108,9.607686148915828e-05,99.75079872204473,97,0.023505731189673452,-0.01919884515003418,0.01437759674107077,-0.010285944303297557,0.6631416202844774,1,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
realized_vol_20,volatility,313,-0.005376186996867789,0.013580872986480839,0.17426253356789267,-0.030851077892616697,-0.22247028649032602,0.5175718849840255,0.48242811501597443,negative,0.0007721923893284641,0.0007662500229211267,0.0008700736325744283,0.0007174043487466042,0.00042799008130661205,-0.00034420230802185205,0.00034420230802185205,-0.7,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.013975222338438597,-0.02460433894787286,-0.0005211542568500472,-0.010262341741629228,1.0,3,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
vol_ratio_5_20,volatility,313,0.008999913484163255,0.00738073807380738,0.11421923580483222,0.07879507703537358,0.5681993810103491,0.5335463258785943,0.46645367412140576,positive,0.0006256094534729644,0.0005599285673017349,0.0005815746463844318,0.0009125068552207303,0.0008612168243196219,0.0002356073708466575,0.0002356073708466575,0.6,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.012424863614323073,0.005596778322985343,0.0112634598537351,0.006721857201965946,0.6387878787878788,5,Moderate,core,Development-only evidence ordering; compact core also applies family diversity and redundancy
parkinson_vol_20,volatility,313,-0.0027113718341746904,-0.00046805242190495693,0.18941808244608194,-0.014314218574916075,-0.10322129808011796,0.4984025559105431,0.5015974440894568,negative,0.0005928322812126208,0.0008674249844599401,0.0009160525829987754,0.0006729439895500589,0.0005025216894588414,-9.031059175377946e-05,9.031059175377946e-05,-0.3,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.018275407606623974,-0.023564477520573356,0.003528782472227675,-0.00899152712972066,0.8417161716171617,1,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
overnight_vol_20,volatility,313,-0.0067980433666068735,-0.009390967269671039,0.14973902281337548,-0.04539927694786343,-0.3273788418090237,0.476038338658147,0.5239616613418531,negative,0.0008232514904705489,0.0008236227913527108,0.0007772301527415995,0.0007808108196466967,0.0003426434190008233,-0.00048060807146972564,0.00048060807146972564,-0.7999999999999999,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.0010032919067960112,-0.014549688606421205,-0.0062985700060775906,-0.007300718479447241,0.5935433543354336,5,Moderate,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
