candidate_id,hyperparameters,validation_mean_rank_ic,validation_median_rank_ic,validation_rank_ic_std,validation_positive_ic_ratio,validation_negative_ic_ratio,validation_icir,validation_annualized_icir,validation_ndcg5,validation_ndcg10,validation_ndcg20,validation_top5_return,validation_top10_return,validation_top5_bottom5_spread,validation_top10_bottom10_spread,validation_number_of_dates,factor_set_name
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.005271728251145554,0.000582058205820582,0.19230337952975288,0.5,0.5,-0.027413601695595372,-0.19768229311723134,0.48663182608986777,0.4874731105872007,0.5125247290759135,-0.0023994493957252287,-0.0016939369022897187,-0.0019921355548234063,-0.0016668446552999929,104,top_10
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.012235396871281405,-0.007872787278727872,0.19107058730264348,0.49038461538461536,0.5096153846153846,-0.06403600388740799,-0.4617701909837217,0.48798769472848746,0.48777230898439056,0.5099461043537745,-0.0030031418083195003,-0.0017582426033817312,-0.0030063815917312432,-0.0019636987395720523,104,top_15
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.012585644941513955,0.003972397239723972,0.18770425038240177,0.5096153846153846,0.49038461538461536,-0.06705039931633815,-0.4835073055507856,0.5005072114310675,0.4991905631806125,0.5115351816654305,-0.0017298704238585111,-0.0013715059729432692,-0.0015594999933961683,-0.0013750702612222222,104,top_15
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.016985832182431385,0.003594359435943594,0.18965781028286566,0.5096153846153846,0.49038461538461536,-0.08956041492358169,-0.6458293365176081,0.48318247642143025,0.4902442760561865,0.505601925098972,-0.0030602835665982037,-0.0014004252519460843,-0.002760721649070247,-0.0013425412087354884,104,top_15
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.016066625844494885,-0.018691992189731856,0.21474936092963964,0.4423076923076923,0.5576923076923077,-0.07481570969498226,-0.5395037550309737,0.45434984851844384,0.47105177407901533,0.4988838110761172,-0.0031949738135975294,-0.0011717696055723497,-0.0036937176096182435,-0.001627738932833511,104,all_eligible
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.01618303785089313,-0.0156887713164854,0.21407925959494545,0.4807692307692308,0.5192307692307693,-0.0755936744246626,-0.5451137384777035,0.46551558055113595,0.47764972725297206,0.5064185933254068,-0.0034575114612341693,-0.0014286856617829575,-0.004344498985620697,-0.0022750824347684104,104,all_eligible
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.01676892241993341,-0.009577009475056852,0.21008807597297327,0.46153846153846156,0.5384615384615384,-0.07981853488005974,-0.5755796404849326,0.4608923542458104,0.47615964607832867,0.5030284389722914,-0.002910337989801697,-0.0012184210631821383,-0.0032688789947827998,-0.0015366014599878697,104,all_eligible
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.017332176989075868,-0.020543749559120944,0.11815213688457084,0.40384615384615385,0.5961538461538461,-0.1466937242617,-1.0578234892286702,0.5076970005913887,0.5008152989332342,0.5206268443296816,0.00016810549053538395,9.511645090283222e-05,-0.0010466985515931902,-0.0003204606538000978,104,forward_selected
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.01929364195048805,-0.027929876205351846,0.11898716259979598,0.4423076923076923,0.5576923076923077,-0.16214893715367182,-1.1692726143391032,0.4821412268333359,0.48386886013447616,0.5063260607251904,-0.0008529448420741925,-0.0002066637650742307,-0.002468175797202694,-0.000772787681208558,104,forward_selected
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.027600078477785048,-0.035361360111506944,0.12636911284516023,0.4326923076923077,0.5673076923076923,-0.21840842161805282,-1.574965526274094,0.49022339979152274,0.4898308980819421,0.513439304859427,-0.0004333685636025041,1.656780859171527e-05,-0.0020427799107645356,-0.0005585447277401412,104,forward_selected
