year,mean_rank_ic,median_rank_ic,rank_ic_std,positive_ic_ratio,negative_ic_ratio,icir,annualized_icir,mean_ndcg5,mean_ndcg10,mean_ndcg20,mean_top5_return,mean_top10_return,mean_top5_bottom5_spread,mean_top10_bottom10_spread,number_of_dates,factor_set_name,sample_mode
2025,-0.005127403187935165,-0.016315683270427893,0.13138341636427125,0.46153846153846156,0.5384615384615384,-0.039026258639210755,-0.2814223532263877,0.4911974151360571,0.48299771470177927,0.5090409156647708,0.00226375612862466,0.0010118128493437,0.0018515367845190049,0.0009294210501067973,52,core_5,native_coverage
2026,-0.01907527971969697,-0.028970966529908763,0.1114913249220452,0.4411764705882353,0.5588235294117647,-0.17109205342240227,-1.233762342877791,0.49067665938914223,0.49439044184401515,0.5112825668596223,-0.0022296200864053185,0.00013053578998558057,-0.0024208837644748146,-1.193367827769649e-05,34,core_5,native_coverage
2024,-0.03513909340381573,-0.06218132044573635,0.12957833638614172,0.36538461538461536,0.6346153846153846,-0.27118030979423674,-1.9555090237186599,0.4730599312083215,0.4694033550379832,0.49565180955147403,-0.001955793850259377,-0.0022352876257536393,-0.002498279558084885,-0.00257955930688045,52,core_plus_fundamental,common_sample
2025,-0.012557493273088064,-0.017617761776177614,0.14106054272988744,0.40384615384615385,0.5961538461538461,-0.08902201161336822,-0.6419468550338996,0.501134620950743,0.494042658873139,0.5117549992289654,0.0011326516199077238,0.000716077263081345,0.0015026208854914552,0.0007406831229786823,52,core_plus_fundamental,common_sample
2026,-0.021704347125204908,-0.03638163816381637,0.13470029855759635,0.4411764705882353,0.5588235294117647,-0.1611306534404181,-1.161929666056891,0.517864795951044,0.5003724317340981,0.5142648151605024,0.0028509045264728276,0.000675350530922728,0.0009639757695849398,-0.0012787438971654439,34,core_plus_fundamental,common_sample
2024,-0.03513909340381573,-0.06218132044573635,0.12957833638614172,0.36538461538461536,0.6346153846153846,-0.27118030979423674,-1.9555090237186599,0.4730599312083215,0.4694033550379832,0.49565180955147403,-0.001955793850259377,-0.0022352876257536393,-0.002498279558084885,-0.00257955930688045,52,core_plus_fundamental,native_coverage
2025,-0.012557493273088064,-0.017617761776177614,0.14106054272988744,0.40384615384615385,0.5961538461538461,-0.08902201161336822,-0.6419468550338996,0.501134620950743,0.494042658873139,0.5117549992289654,0.0011326516199077238,0.000716077263081345,0.0015026208854914552,0.0007406831229786823,52,core_plus_fundamental,native_coverage
2026,-0.021704347125204908,-0.03638163816381637,0.13470029855759635,0.4411764705882353,0.5588235294117647,-0.1611306534404181,-1.161929666056891,0.517864795951044,0.5003724317340981,0.5142648151605024,0.0028509045264728276,0.000675350530922728,0.0009639757695849398,-0.0012787438971654439,34,core_plus_fundamental,native_coverage
2024,-0.03621288080550063,-0.045766643847405364,0.12334454618712302,0.38461538461538464,0.6153846153846154,-0.29359126061855173,-2.117116688376599,0.47316742683099833,0.4696597041149575,0.4870301979231002,-0.001427145914957767,-0.0021899850046700094,-0.0006579836791987449,-0.00235125269473778,52,core_plus_horizon,common_sample
2025,-0.012347106002106282,-0.0022982298229822975,0.14587564938800088,0.4807692307692308,0.5192307692307693,-0.08464130959421047,-0.6103571635286958,0.47510428546043093,0.46210862052253177,0.49886038599833965,0.001570947750288373,-0.0004792853063537253,0.002049989247540399,-0.0008253527555126858,52,core_plus_horizon,common_sample
2026,-0.02141806597105258,-0.01780978097809781,0.10261109663611725,0.4117647058823529,0.5882352941176471,-0.20873050452823838,-1.5051770736600638,0.4968963049006966,0.49322047318615,0.519243489504955,0.0011699259583430272,-0.00010559988714904284,-0.0016420021656269464,-0.0015043034748245716,34,core_plus_horizon,common_sample
2024,-0.03621288080550063,-0.045766643847405364,0.12334454618712302,0.38461538461538464,0.6153846153846154,-0.29359126061855173,-2.117116688376599,0.47316742683099833,0.4696597041149575,0.4870301979231002,-0.001427145914957767,-0.0021899850046700094,-0.0006579836791987449,-0.00235125269473778,52,core_plus_horizon,native_coverage
2025,-0.012347106002106282,-0.0022982298229822975,0.14587564938800088,0.4807692307692308,0.5192307692307693,-0.08464130959421047,-0.6103571635286958,0.47510428546043093,0.46210862052253177,0.49886038599833965,0.001570947750288373,-0.0004792853063537253,0.002049989247540399,-0.0008253527555126858,52,core_plus_horizon,native_coverage
2026,-0.02141806597105258,-0.01780978097809781,0.10261109663611725,0.4117647058823529,0.5882352941176471,-0.20873050452823838,-1.5051770736600638,0.4968963049006966,0.49322047318615,0.519243489504955,0.0011699259583430272,-0.00010559988714904284,-0.0016420021656269464,-0.0015043034748245716,34,core_plus_horizon,native_coverage
2024,-0.04819068825780444,-0.06526261529883427,0.1348699016730738,0.3269230769230769,0.6730769230769231,-0.3573124000239818,-2.5766163592911333,0.4977434873349401,0.488043299230122,0.5006102787994984,-0.0017048730654367766,-0.001771275693613233,-0.0032651972048342785,-0.002755749913228746,52,extended,common_sample
2025,-0.012132429655473427,-0.0035313519020613434,0.1375617002740996,0.5,0.5,-0.08819627578969191,-0.6359923893293948,0.4784463940289588,0.47523857326967117,0.5101017160595875,0.00022740390444946315,-0.0003870247787860606,0.00025013529924291784,0.00025040361573901935,52,extended,common_sample
2026,-0.01205706714540499,-0.04027014782540725,0.12526147712199362,0.4117647058823529,0.5882352941176471,-0.09625518892502338,-0.6941060383972906,0.46271123931103114,0.4786500196689782,0.5053427684256311,-0.0036172675816605548,4.7763749370811094e-05,-0.005978631665171465,-0.00228824735174454,34,extended,common_sample
2024,-0.04819068825780444,-0.06526261529883427,0.1348699016730738,0.3269230769230769,0.6730769230769231,-0.3573124000239818,-2.5766163592911333,0.4977434873349401,0.488043299230122,0.5006102787994984,-0.0017048730654367766,-0.001771275693613233,-0.0032651972048342785,-0.002755749913228746,52,extended,native_coverage
