factor,family,eligible_weeks,mean_rank_ic,median_rank_ic,ic_std,icir,annualized_icir,positive_ic_ratio,negative_ic_ratio,direction,q1,q2,q3,q4,q5,q5_q1,direction_adjusted_top_bottom,monotonicity,coverage,missing_rate,average_stocks_per_eligible_week,minimum_stocks_per_eligible_week,early_mean_ic,late_mean_ic,low_vix_mean_ic,high_vix_mean_ic,max_abs_correlation,evidence_score,evidence_flag,final_role,selection_reason
ema20_60_spread,trend,156,0.015432022998100661,0.025784578457845785,0.16235952371131407,0.0950484618662704,0.6854042058256432,0.5448717948717948,0.4551282051282051,positive,0.00023029040027030387,-0.0004740861654061572,0.0013468301196323336,0.0007447070922789959,0.0007389560074626884,0.0005086656071923845,0.0005086656071923845,0.49999999999999994,0.9976811594202899,0.002318840579710102,99.28846153846153,97,-0.01084936049598277,0.041713406492184094,0.019148459122472244,0.011715586873729068,0.9199519951995199,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
rsi14_centered,trend,156,0.007847711375751984,0.007734773477347733,0.13896750789135923,0.05647155579624481,0.40722218005717264,0.5256410256410257,0.47435897435897434,positive,0.0009767316989333535,-0.0008295512168165394,0.0005816984288919545,0.0006148393084789356,0.0012455000146312924,0.0002687683156979389,0.0002687683156979389,0.39999999999999997,0.9994202898550725,0.0005797101449275255,99.46153846153847,97,0.0018021891118704975,0.01389323363963347,0.010303118736758416,0.005392304014745549,0.952173992909495,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
macd_hist_atr,trend,156,-0.003379925412818334,-0.012381518211783307,0.13171178509387202,-0.025661526114838053,-0.18504789642741362,0.4551282051282051,0.5448717948717948,negative,0.00030389002795179254,0.0009926834996702456,-0.000328460616545624,0.0009815209955416448,0.0006990810159891983,0.00039519098803740576,0.00039519098803740576,0.09999999999999999,0.9986473429951691,0.0013526570048308928,99.38461538461539,97,0.005747707298449571,-0.012507558124086238,-0.00847637195138962,0.0017165211257529523,0.6172037203720373,2,Weak,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
breakout_position_60,trend,156,0.010642272007679612,0.028885051770483172,0.14962900739472468,0.07112439087165137,0.5128852764477638,0.5769230769230769,0.4230769230769231,positive,0.0007107484360252008,-0.00025329366199431925,0.0002900398930426815,0.0003994297128579147,0.0014645176613719117,0.0007537692253467109,0.0007537692253467109,0.39999999999999997,0.9976811594202899,0.002318840579710102,99.28846153846153,97,-0.0018240240240432514,0.02310856803940248,0.02045454245525561,0.0008300015601036178,0.9014761476147615,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
trend_r2_20,trend,156,0.005006843237162319,0.013747374737473745,0.10504638713819046,0.047663164565343155,0.34370396758244603,0.532051282051282,0.46794871794871795,positive,-0.00046324721243916735,0.0008602057270104044,0.00030803080756180155,0.0013261560396148442,0.0006638904490858435,0.0011271376615250108,0.0011271376615250108,0.49999999999999994,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,-0.008134812256744827,0.018148498731069464,0.019064803356778244,-0.009051116882453615,0.16571857185718572,2,Weak,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
realized_vol_5,volatility,156,0.009547282083905229,0.005502550255025502,0.14406003042138996,0.0662729423003624,0.47790098327964603,0.5192307692307693,0.4807692307692308,positive,0.0008916637849962747,-0.00095580387556263,0.0005344306970281199,0.0007673639509042731,0.001345661204845379,0.0004539974198491044,0.0004539974198491044,0.39999999999999997,0.9998067632850242,0.00019323671497584183,99.5,97,0.007765435033907366,0.011329129133903092,-0.003899124915738841,0.0229936890835493,0.6482388238823882,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
realized_vol_20,volatility,156,-8.823330346305336e-05,-0.020042004200420037,0.16657704709376225,-0.0005296846414463628,-0.0038196102691212385,0.4423076923076923,0.5576923076923077,negative,0.001003173586688002,7.389166844571196e-05,-3.431177997431378e-05,0.0001587936301795543,0.0015363355888039305,0.0005331620021159285,0.0005331620021159285,0.3,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,-0.005548158546601276,0.005371691939675176,-0.002540689604892905,0.0023642229979668047,1.0,2,Weak,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
vol_ratio_5_20,volatility,156,0.011291501223863252,0.012068990851325822,0.12061924912786022,0.09361276334835995,0.6750512365807756,0.5192307692307693,0.4807692307692308,positive,-0.0002669858566429951,0.0009318059937171808,0.0005489471091134092,0.00047138561376721896,0.001032675156948958,0.0012996610135919532,0.0012996610135919532,0.6,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,0.010332166121988359,0.012250836325738144,-0.004060594434222928,0.02664359688194944,0.6482388238823882,5,Moderate,core,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
parkinson_vol_20,volatility,156,0.0007350834510832885,-0.012807354399441626,0.1867592446160673,0.0039359949896694306,0.028382863510444972,0.4423076923076923,0.5576923076923077,positive,0.0007512846399897005,0.0003028217233219219,0.0006598655048174726,5.886440605025431e-05,0.0009565307026708899,0.00020524606268118941,0.00020524606268118941,0.09999999999999999,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,-0.0014915101896183934,0.00296167709178497,-0.009521799850367212,0.010991966752533796,0.8380798079807981,1,Weak,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
overnight_vol_20,volatility,156,0.007447157519359462,0.005844584458445844,0.14786827192514665,0.0503634581131058,0.36317606127297164,0.5192307692307693,0.4807692307692308,positive,0.0005179254999099827,-0.0002872383446102382,0.0007775821421937442,0.00013892680204495507,0.0015958003379078856,0.0010778748379979028,0.0010778748379979028,0.49999999999999994,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,0.007119854663045979,0.0077744603756729445,0.02828836445807455,-0.01339404941935563,0.5573177317731773,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
